,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
168,169, Budh Vihar, 1 - Block G-2, Budh Vihar, Phase-I, 2 - Block H-2, Budh Vihar, Phase-I, 3 - Block I-2, Budh Vihar, Phase-I, ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,170, Budh Vihar, 1 - Block J-2, Budh Vihar, Phase-I, 2 - Block K-2, Budh Vihar, Phase-I, 3 - Block L-2, Budh Vihar, Phase-I, ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,171, Budh Vihar, 1 - Block M-2, Budh Vihar, Phase-I, 2 - Block N-2 , Budh Vihar, Phase-I, 3 - Block O-2, Near Durgiana Mander, Budh Vihar, Phase-I, 4 - Block P-2 , Budh Vihar, Phase-I, 5 - Block Q-2, Budh Vihar, Phase-I, 6 - Block R-2, Budh Vihar, Phase-I, 7 - Block S-2, Budh Vihar, Phase-I, 8 - Block T-2 , Budh Vihar, Phase-I, 9 - Block U-2, Budh Vihar, Phase-I, 10 - Block X-2, Budh Vihar, Phase-I, 11 - Block Y-2, Budh Vihar, Phase-I, ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,172, Vijay Vihar, 1 - A-Block, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,173, Vijay Vihar, 1 - Block - A, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,174, Vijay Vihar, 1 - B-Block, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,175, Vijay Vihar, 1 - Block-C, Vijay Vihar Ph-I, 2 - Block-D, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,176, Vijay Vihar, 1 - E-Block, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,177, Vijay Vihar, 1 - F-Block, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,178, Vijay Vihar, 1 - Block - F, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,179, Vijay Vihar, 1 - G-Block, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,180, Vijay Vihar, 1 - Block-I, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,181, Vijay Vihar, 1 - Block-J, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,182, Vijay Vihar, 1 - Block-K, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,183, Vijay Vihar, 1 - Block-L, Vijay Vihar Ph-I, 2 - Block-H, Vijay Vihar Ph-I],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,184, Vijay Vihar, 1 - Block-C, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,185, Vijay Vihar, 1 - Block - C, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,186, Vijay Vihar, 1 - Block-D, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,187, Vijay Vihar, 1 - Block-E, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,188, Vijay Vihar, 1 - Block-B, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,189, Vijay Vihar, 1 - F-Block, Vijay Vihar Ph-2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,190, Vijay Vihar, 1 - Block-F, Vijay Vihar Ph-2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,191, Vijay Vihar, 1 - G-Block, Vijay Vihar Ph-2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,192, Vijay Vihar, 1 - Block-H, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,193, Vijay Vihar, 1 - Block-I, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,194, Vijay Vihar, 1 - J-Block, Vijay Vihar Ph-II, 2 - K-Block, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,195, Vijay Vihar, 1 - K Block, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,196, Vijay Vihar, 1 - A-Block, Gopal Vihar , Vijay Vihar Ph-II, 2 - B-Block, Gopal Vihar, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,197, Vijay Vihar, 1 - L-Block, Vijay Vihar Ph-II, 2 - Block-A, Hargovind Vihar, Vijay Vihar Ph-II, 3 - Block-B Hargovind Vihar, Vijay Vihar Ph-II, 4 - Block-C Hargovind Vihar, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,198, Vijay Vihar, 1 - L-Block, Vijay Vihar Ph-II],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,199, Rohini Sec-4, 1 - DDA Flats, Block B-1, Sector-4, Rohini, 2 - DDA Flats, Block B-1, Sector-4, Rohini, 3 - DDA Flats, Block B-2, Sector-4, Rohini, 4 - DDA Flats, Block B-3, Sector-4, Rohini, 5 - DDA Flats, Block C-1, Sector-4, Rohini, 6 - DDA Flats, Block C-2 , Sector-4, Rohini, 7 - DDA Flats, Block C-3 , Sector-4, Rohini, 8 - DDA Flats, Block D-1, Sector-4, Rohini, 9 - DDA Flats, Block D-2, Sector-4, Rohini, 10 - DDA Flats, Block D-3, Sector-4, Rohini, 11 - DDA Flats, Block E-1, Sector-4, Rohini, 12 - DDA Flats, Block E-2, Sector-4, Rohini, 13 - DDA Flats, Block E-3, Sector-4, Rohini, 14 - DDA Flats, Block F-1, Sector-4, Rohini, 15 - DDA Flats, Block F-2, Sector-4, Rohini, 16 - DDA Flats, Block F-3, Sector-4, Rohini, 17 - DDA Flats, Block A-1, Vijay Vihar Ph-1, Sector-4, Rohini, 18 - DDA Flats, Block A-2, Vijay Vihar Ph-1, Sector-4, Rohini, 19 - DDA Flats, Block A-3, Vijay Vihar Ph-1, Sector-4, Rohini],,,,,,,,,,,
199,200, Rohini Sec-4, 1 - DDA Flats, Block G-1, Sector-4, Rohini, 2 - DDA Flats, Block G-2, Sector-4, Rohini, 3 - DDA Flats, Block G-3, Sector-4, Rohini, 4 - DDA Flats, Block H-1, Sector-4, Rohini, 5 - DDA Flats, Block H-2, Sector-4, Rohini, 6 - DDA Flats, Block H-3, Sector-4, Rohini, 7 - DDA Flats, Block K-1, Sector-4, Rohini, 8 - DDA Flats, Block K-2, Sector-4, Rohini, 9 - DDA Flats, Block K-3, Sector-4, Rohini, 10 - DDA Flats, Block L-1, Sector-4, Rohini, 11 - DDA Flats, Block L-2 , Sector-4, Rohini, 12 - DDA Flats, Block L-3, Sector-4, Rohini, 13 - DDA Flats, Block P-1, Sector-4, Rohini, 14 - DDA Flats, Block P-2, Sector-4, Rohini, 15 - DDA Flats, Block P-3, Sector-4, Rohini, 16 - DDA Flats, Block Q-1, Sector-4, Rohini, 17 - DDA Flats, Block Q-2, Sector-4, Rohini, 18 - DDA Flats, Block Q-3, Sector-4, Rohini, 19 - DDA Flats, Block R-1, Sector-4, Rohini, 20 - DDA Flats, Block R-2 , Sector-4, Rohini, 21 - DDA Flats, Block R-3, Sector-4, Rohini, 22 - DDA Flats, Block M-2, Sector-4, Rohini, 23 - DDA Flats, B]
200,201, Rohini Sec-1, 1 - D-Block, Faront Of Gss School , Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,202, Rohini Sec-1, 1 - M.C.D Flats, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,203, Rohini Sec-1 Avantika, 1 - M C D Flats, Sector - 1, Rohini, 2 - Maharishi Balmiki Bhadr Kali Mandir, M C D Flats, Rohini Sector-1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,204, Rohini Sec-1 Avantika, 1 - D-Block, Sector-1, Rohini, 2 - Near Kabristan Sector-1 Avantika, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,205, Rohini Sec-1 Avantika, 1 - E-Block, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,206, Rohini Sec-1 Avantika, 1 - Amarpali, B Block, Sector 1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,207, Rohini Sec-1 Avantika, 1 - B-Block, Main Avintika Road, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,208, Rohini Sec-1 Avantika, 1 - C-Block, Behind Durga Mandir, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,209, Rohini Sec-1 Avantika, 1 - C-Block, Behind Water Tank, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,210, Rohini Sec-1 Avantika, 1 - Block - C, Behaind Water Tank, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,211, Rohini Sec-1 Avantika, 1 - B-Block, Opp .Asha Kiran Appt., Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,212, Rohini Sec-1 Avantika, 1 - Block-B, Opp. Asha Kiran Appt., Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,213, Rohini Sec-1, 1 - Asha Kiran Staff Qr., Type-1 , Sector-1, Rohini, 2 - B Block, Sector-1, Near Asha Kiran Appt., Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,214, Rohini Sec-1 Avantika, 1 - Block-B, Janta Flats, Sector-1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,215, Rohini Sec-1, 1 - B-Block, Janta Flats, Sector 1, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
